# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-09-26 14:08:15 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/standata-25d450cd851.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/init-1-25d4288a429e.json
# random
#   seed = 274815519
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/fit_gen_chiffre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 1
0,0,0,1.46301,1.00146,0.260161,2.67308,1.50278,1.36326,1,0,0
0,-459.436,-3.0607,1.51401,0.970869,0.216975,2.64005,1.61482,1.3648,1,0,0
0,-460.228,-2.80207,1.43843,0.97953,0.259217,2.50637,1.54896,1.34334,1,0,0
0,-457.761,-1.24213,1.47168,1.011,0.272261,2.7197,1.41501,1.39428,1,0,0
0,-458.801,-3.07386,1.40453,1.02543,0.307895,2.74827,1.5177,1.3582,1,0,0
0,-467.839,-9.47665,1.53302,1.02622,0.1802,2.54667,1.33845,1.3326,1,0,0
0,-457.115,-1.10942,1.47189,0.976071,0.263954,2.76838,1.50114,1.38727,1,0,0
0,-460.57,-1.28539,1.46108,0.973609,0.247202,2.59022,1.49708,1.33232,1,0,0
0,-458.93,-2.09577,1.43715,1.01492,0.204598,2.65713,1.54485,1.35453,1,0,0
0,-458.833,-4.00794,1.43878,0.994567,0.314371,2.77979,1.49762,1.30578,1,0,0
0,-461.148,-6.66874,1.57266,1.02935,0.23434,2.75976,1.5474,1.35942,1,0,0
0,-461.436,-3.19534,1.43647,0.922959,0.253472,2.63918,1.59464,1.32303,1,0,0
0,-457.723,-0.169335,1.46327,1.00241,0.261934,2.64377,1.48803,1.35037,1,0,0
0,-456.982,-0.864999,1.43968,1.00799,0.271983,2.62193,1.5703,1.37681,1,0,0
0,-460.38,-1.39978,1.45096,0.946265,0.288726,2.6473,1.46998,1.34152,1,0,0
0,-458.83,-1.22914,1.45377,0.996732,0.23254,2.77417,1.49549,1.34685,1,0,0
0,-458.048,-3.81844,1.46757,1.11061,0.305442,2.56648,1.5374,1.37328,1,0,0
0,-462.842,-4.32505,1.44055,1.09345,0.262223,2.70097,1.42501,1.42528,1,0,0
0,-459.26,-4.22445,1.42672,0.933822,0.284333,2.83525,1.48571,1.33097,1,0,0
0,-459.364,-1.81893,1.44336,0.986962,0.260385,2.77032,1.44245,1.3277,1,0,0
0,-457.078,-0.296663,1.45934,0.994279,0.271545,2.68313,1.542,1.34763,1,0,0
0,-462.977,-6.73377,1.49464,1.08658,0.272645,2.80046,1.54861,1.2856,1,0,0
0,-457.44,-1.16381,1.48188,1.03148,0.255315,2.77952,1.48177,1.36953,1,0,0
0,-465.774,-5.36488,1.4197,0.957166,0.264692,2.67516,1.29875,1.31542,1,0,0
0,-460.164,-2.23307,1.42432,0.988614,0.265616,2.75618,1.40223,1.33826,1,0,0
0,-456.506,-1.69438,1.48742,0.98856,0.281454,2.78109,1.50949,1.39067,1,0,0
0,-457.054,-2.61729,1.46716,1.06129,0.231017,2.539,1.56967,1.36363,1,0,0
0,-461.289,-3.08889,1.45175,0.972036,0.252242,2.68229,1.4197,1.42988,1,0,0
0,-457.778,-2.69117,1.476,0.953028,0.263696,2.84821,1.48897,1.37663,1,0,0
0,-458.64,-2.9978,1.42796,0.9636,0.236425,2.78902,1.5913,1.33333,1,0,0
0,-462.046,-4.02599,1.42634,1.09361,0.266087,2.73398,1.53801,1.31408,1,0,0
0,-458.661,-2.2132,1.41852,1.01492,0.240501,2.6003,1.52569,1.33171,1,0,0
0,-457.295,-0.893046,1.46888,1.03361,0.252894,2.71979,1.49634,1.3932,1,0,0
0,-458.324,-2.41685,1.45251,1.01076,0.29157,2.58005,1.46033,1.41126,1,0,0
0,-463.903,-5.06,1.43517,0.972748,0.213319,2.48774,1.41353,1.39031,1,0,0
0,-462.672,-5.14498,1.4452,1.12384,0.339375,2.68747,1.58235,1.37086,1,0,0
0,-459.651,-4.63124,1.48671,0.986441,0.299772,2.60193,1.60515,1.43604,1,0,0
0,-459.42,-2.27456,1.46588,1.06909,0.243809,2.6567,1.36778,1.38121,1,0,0
0,-457.9,-1.58061,1.45054,0.957323,0.296768,2.72134,1.46945,1.39,1,0,0
0,-456.509,-1.11374,1.45764,0.990087,0.247087,2.71171,1.62325,1.38049,1,0,0
0,-459.695,-2.77283,1.48904,0.988934,0.203222,2.59586,1.56832,1.34975,1,0,0
0,-457.534,-3.18229,1.49735,1.028,0.253971,2.80619,1.66242,1.37029,1,0,0
0,-457.523,-2.18474,1.4801,0.982651,0.235601,2.79267,1.5543,1.39643,1,0,0
0,-456.754,-1.60909,1.46186,1.0316,0.29975,2.77288,1.44123,1.36671,1,0,0
