# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/standata-25d4b5f613c.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/init-1-25d430f91571.json
# random
#   seed = 504578002
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/fit_gen_barre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
100,1.44,-328.073
200,2.875,-304.798
300,4.312,-303.076
400,5.772,-298.287
500,7.241,-299.562
600,8.733,-297.645
700,10.182,-297.969
800,11.625,-297.693
900,13.08,-301.494
1000,14.525,-315.763
1100,15.965,-296.299
1200,17.436,-297.255
1300,18.899,-296.679
1400,20.327,-296.784
1500,21.827,-297.072
1600,23.286,-299.456
1700,24.694,-300.995
1800,26.197,-297.882
1900,27.913,-296.676
2000,29.418,-296.865
2100,30.904,-298.044
2200,32.32,-296.513
2300,33.814,-296.996
2400,35.198,-296.752
2500,36.615,-296.616
2600,38.223,-296.629
2700,39.636,-296.655
2800,41.039,-298.229
2900,42.46,-297.221
3000,43.868,-296.882
3100,45.273,-297.325
3200,46.743,-298.616
3300,48.334,-296.673
3400,49.79,-297.715
3500,51.233,-297.697
3600,52.672,-297.458
3700,54.117,-299.019
3800,55.561,-301.619
3900,57.1,-306.049
4000,58.663,-298.832
4100,60.373,-298.497
4200,61.947,-296.389
4300,63.398,-296.833
4400,64.855,-301.821
4500,66.353,-298.004
4600,67.863,-296.847
4700,69.355,-296.769
4800,70.891,-296.724
4900,72.358,-296.885
5000,73.819,-296.473
5100,75.252,-297.41
5200,76.692,-299.149
5300,78.204,-296.845
5400,79.674,-299.068
5500,81.148,-296.59
5600,82.61,-298.818
5700,84.069,-296.761
5800,85.529,-296.573
5900,86.987,-296.416
6000,88.449,-296.861
6100,89.923,-296.538
6200,91.376,-296.199
6300,92.844,-297.342
6400,94.29,-296.242
6500,95.731,-296.74
6600,97.206,-297.275
6700,98.678,-296.283
6800,100.127,-297.216
6900,101.591,-299.86
7000,103.045,-296.72
7100,104.516,-297.893
7200,105.973,-296.482
7300,107.447,-297.106
7400,108.908,-297.467
7500,110.382,-296.637
7600,111.871,-297.738
7700,113.36,-297.065
7800,114.787,-296.45
7900,116.24,-297.391
8000,117.721,-297.005
8100,119.195,-297.169
8200,120.653,-298.789
8300,122.118,-297.817
8400,123.565,-296.585
8500,125.038,-299.484
8600,126.511,-297.284
8700,128.026,-296.853
8800,129.489,-297.184
8900,130.93,-297.625
9000,132.397,-297.82
9100,133.85,-296.646
9200,135.309,-296.711
9300,136.779,-296.336
9400,138.25,-296.822
9500,139.706,-296.191
9600,141.175,-296.29
9700,142.625,-303.55
9800,144.082,-296.592
9900,145.546,-296.802
10000,147.008,-296.263
