"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"1",-9547.9,-3.1347,1.2743,0.890716,0.446785,3.62129,0.699334,1.08113,1.47746,1,0,1,1,1
"2",-9540.22,-3.48638,1.29221,0.973497,0.516427,2.72672,0.730107,1.02948,1.47336,1,0,1,2,2
"3",-9542.82,-4.78381,1.29128,0.90112,0.51183,3.07663,0.84476,1.00878,1.48577,1,0,1,3,3
"4",-9528.25,-3.97651,1.30361,0.956234,0.430385,2.78134,0.754035,1.04396,1.49059,1,0,1,4,4
"5",-9563.26,-5.57823,1.27026,0.896445,0.536285,2.78007,0.670321,1.06051,1.46554,1,0,1,5,5
"6",-9517.88,-2.92393,1.26364,0.862351,0.491746,3.1172,0.740839,1.04852,1.47596,1,0,1,6,6
"7",-9501.83,-2.82291,1.29502,0.980955,0.480855,3.27959,0.814891,1.02517,1.46522,1,0,1,7,7
"8",-9555.51,-6.38438,1.27335,0.991262,0.522125,2.75387,0.706183,0.995974,1.4615,1,0,1,8,8
"9",-9525.88,-3.75043,1.29915,0.888308,0.485855,2.89463,0.711098,1.00164,1.47941,1,0,1,9,9
"10",-9529.5,-2.22038,1.2778,0.909241,0.481435,2.86628,0.782258,1.06791,1.48691,1,0,1,10,10
"11",-9525.88,-6.54173,1.30205,0.972307,0.515802,3.79195,0.766911,1.11505,1.46875,1,0,1,11,11
"12",-9503.41,-1.61925,1.27434,0.947448,0.428306,3.36149,0.782793,1.0462,1.48161,1,0,1,12,12
"13",-9503.55,-3.05584,1.2625,0.88807,0.441296,3.47189,0.755207,1.05121,1.46196,1,0,1,13,13
"14",-9563.79,-4.79087,1.28309,1.01771,0.426077,3.44038,0.7543,1.01235,1.45451,1,0,1,14,14
"15",-9569.51,-7.11638,1.29489,0.821917,0.487628,3.44194,0.66922,1.02653,1.4887,1,0,1,15,15
"16",-9486.99,-2.3719,1.28777,0.933345,0.535159,3.2365,0.764957,1.04303,1.45589,1,0,1,16,16
"17",-9534.31,-5.35879,1.30432,0.895544,0.569465,3.05976,0.707151,1.08136,1.47521,1,0,1,17,17
"18",-9535.92,-6.45745,1.28675,0.89486,0.548037,3.77641,0.732151,1.02398,1.50008,1,0,1,18,18
"19",-9543.75,-6.12501,1.2708,1.02106,0.422471,3.06499,0.775837,1.11423,1.46642,1,0,1,19,19
"20",-9495.76,-6.59021,1.307,0.89032,0.502838,3.28962,0.750704,0.967302,1.47732,1,0,1,20,20
"21",-9580.06,-1.84515,1.27736,0.962283,0.467638,3.58272,0.702657,1.05076,1.4706,1,0,1,21,21
"22",-9506.28,-1.56238,1.28425,0.97474,0.453354,3.19374,0.749704,1.00975,1.47668,1,0,1,22,22
"23",-9593.53,-4.63558,1.28017,1.00694,0.466918,3.69713,0.760247,1.05861,1.4968,1,0,1,23,23
"24",-9506.08,-3.99381,1.28654,0.916891,0.407285,3.06412,0.71626,1.0748,1.44818,1,0,1,24,24
"25",-9489.96,-1.40909,1.28257,0.910755,0.495181,3.39766,0.74276,1.06354,1.45806,1,0,1,25,25
"26",-9485.56,-2.51088,1.28379,0.951319,0.489398,3.60685,0.792553,1.05259,1.45812,1,0,1,26,26
"27",-9526.58,-1.96916,1.29281,0.95994,0.509921,2.94867,0.708268,1.04826,1.46716,1,0,1,27,27
"28",-9516.17,-3.19866,1.29181,0.863994,0.444763,3.16854,0.735411,1.03729,1.49625,1,0,1,28,28
"29",-9545.75,-6.10046,1.27816,0.956112,0.409463,2.79939,0.789311,0.990015,1.45807,1,0,1,29,29
"30",-9518.68,-1.40777,1.2776,0.965122,0.452443,2.94839,0.712118,1.04554,1.47844,1,0,1,30,30
"31",-9519.75,-4.38011,1.27167,0.859802,0.419846,3.29669,0.716087,1.06991,1.45416,1,0,1,31,31
"32",-9499.98,-0.408256,1.28146,0.933675,0.465079,3.15219,0.723066,1.03401,1.46827,1,0,1,32,32
"33",-9562.51,-3.80621,1.28512,1.01917,0.503905,3.1429,0.718898,1.00598,1.47771,1,0,1,33,33
"34",-9579.28,-4.7382,1.28018,0.931099,0.472579,3.31618,0.665151,1.07472,1.50216,1,0,1,34,34
"35",-9525.74,-2.51297,1.28615,0.882204,0.464414,3.59179,0.706439,1.0678,1.46313,1,0,1,35,35
"36",-9500.39,-1.30723,1.26629,0.911601,0.464172,3.1914,0.7349,1.04642,1.48144,1,0,1,36,36
"37",-9534.29,-6.15726,1.25658,0.917767,0.468807,3.12151,0.685018,1.11843,1.46756,1,0,1,37,37
"38",-9526.68,-1.41474,1.27809,0.946503,0.444191,3.22233,0.694584,1.06105,1.48246,1,0,1,38,38
"39",-9545.51,-3.66345,1.27074,0.950911,0.397163,3.43807,0.704082,1.02715,1.47064,1,0,1,39,39
"40",-9510.23,-4.16046,1.26841,0.957013,0.416909,3.08361,0.72238,1.00553,1.45614,1,0,1,40,40
