# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_revision_v9_Frechet_generalized_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/standata-25d47e126322.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/init-1-25d46e5662b.json
# random
#   seed = 1760951269
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/rev_fit_gen_chiffre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_revision_v9_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_revision_v9_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
100,3.395,-2151.73
200,6.88,-1599.4
300,9.967,-1597.15
400,13.295,-1287.63
500,16.035,-1143.44
600,18.957,-1137.19
700,22.458,-1075.36
800,25.365,-1051.57
900,28.096,-1025.87
1000,31.071,-987.978
1100,34.392,-1008.78
1200,37.284,-969.478
1300,41.038,-973.111
1400,45.102,-970.816
1500,48.12,-983.346
1600,51.648,-951.375
1700,55.331,-957.658
1800,58.481,-953.957
1900,62.83,-949.914
2000,66.377,-952.24
2100,69.196,-958.889
2200,72.87,-949.385
2300,75.875,-948.95
2400,78.714,-941.397
2500,82.283,-940.634
2600,85.573,-939.601
2700,88.391,-951.643
2800,92.008,-946.35
2900,95.453,-938.493
3000,98.504,-936.839
3100,102.622,-946.866
3200,106.261,-944.255
3300,109.285,-939.458
3400,113.33,-938.092
3500,116.651,-936.451
3600,119.974,-936.662
3700,125.101,-936.969
3800,128.181,-938.44
3900,131.96,-936.118
4000,135.716,-936.389
4100,139.064,-936.828
4200,143.794,-935.992
4300,151.345,-936.244
