"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"1",-5419.88,-3.87152,1.34197,3.07658,3.63077,3.08208,0.705517,1.43519,1,0,0,1,1,1,1
"2",-5412.9,-2.52049,1.32556,2.77965,3.58939,3.01442,0.694811,1.44158,1,0,0,1,2,1,1
"3",-5416.5,-3.53608,1.33004,3.11158,3.57276,3.08976,0.701983,1.43553,1,0,0,1,3,1,1
"4",-5414.56,-4.52133,1.3161,2.43104,3.73704,3.24406,0.695784,1.43074,1,0,0,1,4,1,1
"5",-5417.64,-2.42783,1.32945,2.56162,3.59582,3.06564,0.706441,1.42811,1,0,0,1,5,1,1
"6",-5414.19,-1.51723,1.30815,2.6881,3.73235,3.13575,0.702537,1.4311,1,0,0,1,6,1,1
"7",-5419.06,-4.2306,1.32548,3.02468,3.53051,2.98913,0.707711,1.42113,1,0,0,1,7,1,1
"8",-5438.94,-4.73043,1.32807,2.75624,3.81631,2.91924,0.706875,1.40246,1,0,0,1,8,1,1
"9",-5424.25,-2.42937,1.33386,3.0896,3.80713,2.99572,0.701154,1.42936,1,0,0,1,9,1,1
"10",-5412.67,-1.94477,1.31393,2.88626,3.68884,3.09982,0.701881,1.44944,1,0,0,1,10,1,1
"11",-5414.4,-4.11629,1.32507,2.57643,3.50122,3.08388,0.70465,1.4308,1,0,0,1,11,1,1
"12",-5421.43,-3.58354,1.3289,3.13798,3.83869,3.2145,0.710496,1.43281,1,0,0,1,12,1,1
"13",-5420.33,-4.4993,1.30236,2.93384,3.90912,3.08141,0.696908,1.41988,1,0,0,1,13,1,1
"14",-5413.05,-6.81359,1.32338,2.57455,3.8995,3.26955,0.68593,1.44589,1,0,0,1,14,1,1
"15",-5420.26,-2.1846,1.33162,2.53682,3.6948,3.02125,0.708089,1.4416,1,0,0,1,15,1,1
"16",-5417.64,-0.962137,1.32604,2.7136,3.73451,3.17332,0.71029,1.43007,1,0,0,1,16,1,1
"17",-5424.08,-5.36616,1.30873,2.5723,3.65178,2.96609,0.723423,1.4391,1,0,0,1,17,1,1
"18",-5415.49,-2.52331,1.32171,2.48532,3.74904,3.09534,0.698262,1.44513,1,0,0,1,18,1,1
"19",-5425.03,-2.87635,1.33896,2.84018,3.63995,3.00851,0.71203,1.42278,1,0,0,1,19,1,1
"20",-5430.83,-4.11632,1.30391,2.63158,3.85254,2.99547,0.715979,1.42287,1,0,0,1,20,1,1
"21",-5415.75,-2.59483,1.33315,2.72933,3.66155,3.2374,0.699982,1.42914,1,0,0,1,21,1,1
"22",-5418.21,-4.66302,1.33485,2.6591,3.53198,2.93748,0.698991,1.42966,1,0,0,1,22,1,1
"23",-5440.35,-4.7977,1.33663,2.77539,3.96531,2.99159,0.704187,1.4121,1,0,0,1,23,1,1
"24",-5417.44,-3.68968,1.33251,2.97611,3.7426,3.25272,0.69333,1.42506,1,0,0,1,24,1,1
"25",-5427.04,-1.37292,1.32559,2.79792,3.82673,3.07098,0.708656,1.4157,1,0,0,1,25,1,1
"26",-5419.29,-2.23537,1.32864,2.51635,3.74727,3.10818,0.696072,1.42376,1,0,0,1,26,1,1
"27",-5420.49,-2.18582,1.33015,2.5373,3.81866,3.0739,0.694923,1.42995,1,0,0,1,27,1,1
"28",-5423.19,-6.59421,1.32333,2.89198,3.62963,2.94129,0.724588,1.45654,1,0,0,1,28,1,1
"29",-5421.47,-1.16561,1.31466,2.84094,3.78014,3.09126,0.714657,1.42868,1,0,0,1,29,1,1
"30",-5415.45,-1.38261,1.3178,2.72598,3.74523,3.18136,0.69885,1.42202,1,0,0,1,30,1,1
"31",-5426.39,-2.46659,1.32003,2.7536,3.84058,2.99242,0.715028,1.44863,1,0,0,1,31,1,1
"32",-5416.62,-3.1257,1.31738,2.53231,3.58553,2.97938,0.702678,1.42964,1,0,0,1,32,1,1
"33",-5418.38,-0.885495,1.32848,2.94774,3.76456,3.02683,0.698541,1.43314,1,0,0,1,33,1,1
"34",-5415.41,-1.87856,1.32063,2.66808,3.76433,3.21323,0.711051,1.44065,1,0,0,1,34,1,1
"35",-5416.29,-1.77979,1.32532,3.04945,3.78108,3.17014,0.703466,1.43891,1,0,0,1,35,1,1
"36",-5423.41,-1.9637,1.31901,2.51749,3.73418,2.96572,0.707883,1.43298,1,0,0,1,36,1,1
"37",-5423.86,-1.69095,1.32004,3.03018,3.8474,3.05905,0.705176,1.42173,1,0,0,1,37,1,1
"38",-5416.58,-2.35946,1.32662,2.64184,3.79641,3.2521,0.701222,1.42621,1,0,0,1,38,1,1
"39",-5420.63,-1.0961,1.33266,2.80024,3.83157,3.10453,0.706007,1.43923,1,0,0,1,39,1,1
"40",-5416.1,-2.10918,1.32657,2.7299,3.68928,2.94503,0.695527,1.44305,1,0,0,1,40,1,1
"41",-5415.45,-1.43162,1.31296,2.79162,3.78646,3.16888,0.699529,1.42399,1,0,0,1,41,1,1
