# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-09-26 16:24:07 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/standata-25d415a95a69.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/init-1-25d43a7a42e2.json
# random
#   seed = 1427371676
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/fit_gen_exp2_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 0.1
0,0,0,0.00017619,1.23226,11.9011,0.00279136,1.42201,1.53429,1,0,0
0,-69013.9,-1.10902,0.000174487,1.84466,12.0613,0.00318154,1.25095,1.55802,1,0,0
0,-69088,-3.94508,0.000164323,0.834279,15.431,0.00275049,1.72662,1.52065,1,0,0
0,-69004.9,-3.15592,0.000168064,0.882424,9.9584,0.00255024,1.66023,1.49325,1,0,0
0,-69096.1,-8.15652,0.000161843,0.396994,14.4008,0.00303066,1.20378,1.45751,1,0,0
0,-69376.4,-7.36049,0.000187659,1.64166,10.4856,0.00418083,1.73676,1.48088,1,0,0
0,-68987.5,-7.12192,0.000181548,1.72228,9.32083,0.00408471,1.00929,1.51547,1,0,0
0,-69082.7,-5.22618,0.000185833,1.48905,15.3831,0.00298549,2.10251,1.52258,1,0,0
0,-69044.1,-1.3823,0.000172004,1.42979,14.2913,0.00306377,1.34208,1.54227,1,0,0
0,-69021.6,-2.41519,0.000170454,1.18246,11.0843,0.00296579,1.79573,1.57605,1,0,0
0,-69012.4,-1.23495,0.00017821,0.953736,10.5725,0.00265778,1.33757,1.50228,1,0,0
0,-69007.1,-0.981955,0.000177872,1.09485,10.9505,0.00274972,1.4257,1.49991,1,0,0
0,-69026.6,-3.31487,0.000175529,0.956847,9.90605,0.00310157,2.02405,1.52302,1,0,0
0,-69032.1,-2.23456,0.000179164,0.755434,13.3926,0.00298299,1.28385,1.58149,1,0,0
0,-69013.1,-1.77502,0.000176662,2.35406,12.2042,0.00287663,1.43933,1.58315,1,0,0
0,-69074.6,-3.27694,0.000180288,0.919448,16.4902,0.00284283,1.37549,1.54248,1,0,0
0,-69021.8,-0.751078,0.000176489,1.30032,12.8417,0.00255939,1.32629,1.55823,1,0,0
0,-69055.8,-2.84913,0.000164963,1.20445,11.9898,0.00309648,1.08823,1.56021,1,0,0
0,-69014,-4.11632,0.000173763,3.64747,9.25569,0.00275984,1.85619,1.51301,1,0,0
0,-69009.8,-1.95016,0.000169346,1.87524,12.3457,0.00333682,1.24955,1.50705,1,0,0
0,-69014.8,-3.10641,0.000174268,6.31315,12.6715,0.002376,1.21445,1.54707,1,0,0
0,-69029.2,-1.34544,0.000170967,1.92396,13.4961,0.00255576,1.27382,1.55117,1,0,0
0,-69067.1,-1.32259,0.00017577,1.62333,12.5659,0.00284005,1.20526,1.50015,1,0,0
0,-69039.4,-1.62461,0.000168735,1.06847,13.4837,0.00291086,1.47312,1.50219,1,0,0
0,-69036.5,-0.8007,0.000168733,0.870538,12.6901,0.00279868,1.33428,1.54509,1,0,0
0,-69029.4,-2.38735,0.000168292,3.65723,13.2127,0.00252934,1.25808,1.55506,1,0,0
0,-69033.2,-1.2927,0.000183645,2.59637,11.1176,0.00297359,1.5882,1.54407,1,0,0
0,-68980.6,-3.92983,0.000179847,5.35233,11.921,0.00305364,1.76027,1.58209,1,0,0
0,-69058.5,-3.8794,0.00018505,1.93375,15.0316,0.00264885,1.23201,1.57907,1,0,0
0,-68961.3,-1.6041,0.000177285,4.91074,10.9669,0.00272554,1.38795,1.53716,1,0,0
0,-68968.2,-2.42559,0.000175333,3.5618,13.5466,0.00244892,1.159,1.5214,1,0,0
0,-69769.4,-4.23888,0.0001808,0.282299,9.48152,0.00295872,1.11258,1.53736,1,0,0
0,-69204.3,-1.71678,0.000179073,2.08643,11.1467,0.00321906,1.78835,1.54451,1,0,0
0,-69052.6,-3.77844,0.00017531,2.15413,12.9202,0.00207908,1.19939,1.49301,1,0,0
0,-69003.6,-0.528432,0.000177168,1.18196,11.1197,0.00260519,1.28992,1.51948,1,0,0
0,-69121.1,-1.89606,0.000173872,1.76189,12.6322,0.00309195,1.58936,1.49011,1,0,0
0,-68982.6,-1.5907,0.000176125,1.85522,11.743,0.00248113,1.6825,1.56882,1,0,0
0,-69011.1,-5.55082,0.00016458,5.02427,11.7052,0.00359851,1.8239,1.56676,1,0,0
0,-69117.7,-4.74325,0.000167907,1.02457,10.0012,0.00285958,1.25923,1.46577,1,0,0
0,-69051.2,-5.14248,0.000169611,0.401061,12.0782,0.00289597,2.24638,1.50642,1,0,0
0,-69133.1,-1.92199,0.000166465,2.03732,11.3907,0.00335705,1.32982,1.52093,1,0,0
0,-69042.9,-3.23767,0.000161669,1.09396,10.9307,0.00264289,1.47563,1.49235,1,0,0
0,-69034.6,-1.55899,0.000167529,0.729894,11.4482,0.00258258,1.57093,1.5602,1,0,0
0,-69034,-0.96652,0.000175114,0.966084,13.5186,0.00253152,1.34177,1.51638,1,0,0
0,-71665.8,-5.26305,0.000187461,0.152133,12.402,0.00342799,1.27729,1.52533,1,0,0
0,-69035.1,-3.96301,0.000161449,4.5469,11.4476,0.00249664,1.20048,1.54669,1,0,0
0,-69013.9,-2.3099,0.000167432,0.701926,10.6765,0.00241357,1.50509,1.50307,1,0,0
0,-69063.2,-3.04206,0.000189238,0.459333,11.0173,0.00232675,1.26609,1.53045,1,0,0
0,-69034.6,-3.00191,0.000174622,0.438698,11.5038,0.00321659,1.83398,1.56885,1,0,0
0,-69031.5,-1.59985,0.000173415,1.91256,14.2518,0.00285085,1.34066,1.50872,1,0,0
0,-69015.5,-3.3848,0.000184084,1.43764,10.9576,0.00395268,1.36045,1.54997,1,0,0
0,-69028.6,-0.548771,0.000170469,1.53707,12.2365,0.002571,1.44863,1.52314,1,0,0
0,-69051.3,-1.45304,0.000165355,2.57088,12.3508,0.00278633,1.47793,1.53822,1,0,0
0,-69046.2,-1.97784,0.000175254,1.22185,14.6476,0.00293045,1.60155,1.56212,1,0,0
0,-68998.8,-1.97615,0.000171653,0.611514,9.82061,0.00249704,1.46997,1.51982,1,0,0
0,-69246.3,-2.05199,0.000177878,2.12701,10.6176,0.00338332,1.21381,1.55543,1,0,0
0,-69057.1,-3.09519,0.000191372,0.847624,10.0329,0.00277158,1.21112,1.52353,1,0,0
0,-69063.7,-2.4806,0.000183785,0.433691,14.1354,0.00291306,1.23575,1.52432,1,0,0
0,-69019.3,-1.50387,0.000174897,0.70778,12.5757,0.00306941,1.13986,1.51597,1,0,0
0,-69060.5,-2.65579,0.000183575,1.86311,15.2727,0.0026015,1.26059,1.52926,1,0,0
0,-68984.5,-2.88939,0.000167431,4.90048,11.7643,0.00320519,1.22221,1.54745,1,0,0
0,-69096.6,-2.86088,0.000194883,2.40332,11.8351,0.00282351,1.39976,1.5272,1,0,0
0,-69042.8,-3.90567,0.000189353,1.46028,9.23496,0.00286068,1.73574,1.51974,1,0,0
0,-69036.7,-1.79993,0.000169599,1.41573,13.2514,0.0033509,1.21293,1.53464,1,0,0
0,-69021.7,-1.3958,0.000175308,1.50377,12.3099,0.00245123,1.28691,1.57106,1,0,0
0,-68949.7,-5.31898,0.000165262,3.34124,12.1487,0.00300376,1.07056,1.47612,1,0,0
0,-69113.1,-0.984787,0.000177502,1.76591,10.8073,0.00235656,1.39846,1.52978,1,0,0
0,-69080.7,-2.42034,0.000163997,2.18973,11.4092,0.00305447,1.58573,1.56319,1,0,0
0,-69040.4,-1.24209,0.000175363,1.52215,14.1947,0.00260671,1.5523,1.54718,1,0,0
0,-69037.1,-4.49988,0.000164266,1.36967,11.8167,0.00213935,1.15751,1.49214,1,0,0
0,-69026.2,-1.62999,0.00017105,0.585928,12.0601,0.00245065,1.62443,1.55907,1,0,0
0,-69040.2,-3.13431,0.000182096,0.588336,12.2692,0.00244108,1.14227,1.48909,1,0,0
0,-69032,-0.530338,0.000172787,2.19318,12.5409,0.0029075,1.47972,1.54411,1,0,0
0,-69270.5,-2.31015,0.00018122,2.87955,13.2043,0.00344453,1.32396,1.55597,1,0,0
0,-69052.3,-2.83601,0.00018016,2.19229,14.1477,0.00357766,1.25491,1.52209,1,0,0
0,-69086.8,-4.44161,0.000191521,0.421356,12.011,0.00260918,1.09236,1.56795,1,0,0
0,-69136.9,-4.49338,0.000178746,0.347405,11.9727,0.00368709,1.52516,1.48437,1,0,0
0,-69036.8,-3.2568,0.000168393,1.05235,12.6837,0.00256592,1.50227,1.47297,1,0,0
0,-68973.4,-2.64806,0.000173939,5.83514,10.1821,0.00285589,1.51798,1.52205,1,0,0
0,-69323.9,-1.91459,0.000177619,1.75562,10.1026,0.00293954,1.11192,1.52863,1,0,0
0,-68910.2,-2.5031,0.000166531,3.39283,10.3127,0.00264756,1.25805,1.52161,1,0,0
0,-68994.6,-4.10386,0.000166585,5.00044,10.9283,0.00238844,1.83886,1.54961,1,0,0
0,-69029.5,-1.37284,0.000176802,0.425365,10.9748,0.00244688,1.39947,1.53621,1,0,0
0,-69044.1,-1.90353,0.000171137,0.734318,13.4208,0.00287757,1.26493,1.57187,1,0,0
0,-69099.9,-0.351927,0.00018042,2.07073,11.965,0.00273798,1.44393,1.53763,1,0,0
0,-69017.6,-1.54202,0.000171119,1.5218,10.368,0.00252075,1.29383,1.55994,1,0,0
0,-69025.6,-3.6754,0.000182308,2.6297,9.7955,0.00206388,1.42578,1.53464,1,0,0
