"treatment","I","gamma","m","lam","beta","stay","alpha"
1,1.979104765,3.68145308,1.0143742065,0.3128153006,0.8220488055,1.1948489585,1.76154123
1,2.06242616,2.678332465,0.9478470265,0.3318130759,0.7958442755,0.819860017,1.76154123
1,3.536076855,5.28841216,1.131633171,0.2116915253,0.7821635255,0.527308287,1.76154123
1,2.312496325,4.33785103,0.8078818165,0.26586813735,0.689584765,0.9532201605,1.76154123
1,0.6113130175,2.169081468,0.709340929,0.46568088385,0.679769169,0.875525842,1.76154123
1,2.21731313,3.348687345,0.91593095,0.5277153886,0.8665512765,0.61689648,1.76154123
1,3.172738685,2.897287075,0.998572343,0.3494368945,0.7489607335,0.884290312,1.76154123
1,1.3835062425,5.3134532,1.1016759935,0.356902539,0.5960504305,1.088297424,1.76154123
1,3.17361647,4.56428644,1.0265879715,0.3558426229,0.8796339245,0.532542852,1.76154123
1,2.767559305,5.13890296,1.0025421835,0.4193676505,0.39332380495,0.671866415,1.76154123
1,1.667799145,1.8328839735,1.1668497975,0.5529479107,1.1509372205,1.72689279,1.76154123
1,3.11465411,4.31717891,1.151042061,0.5112720927,0.4523312964,2.0962900775,1.76154123
1,3.917014055,5.33522422,0.9462644705,0.768727012,0.22586290975,0.6143576865,1.76154123
1,2.43904924,3.77359716,0.9309950835,0.2343338502,0.8705533765,2.2232167155,1.76154123
1,3.33433007,5.82108208,1.037626417,0.24962745445,0.8837729705,0.900344351,1.76154123
1,1.2800149815,2.75573678,0.8625897695,0.57455714195,0.5219461895,1.920099839,1.76154123
1,2.58217827,4.41781964,1.0262964955,0.5302897565,0.4175661524,0.5999954055,1.76154123
1,2.62768973,2.907224105,0.9874054435,0.2665486889,0.7955426825,0.810269618,1.76154123
1,1.0644848375,2.85625068,1.075078814,0.198776823,0.8203086,1.483210692,1.76154123
1,0.9861167845,3.44426984,0.75892125,0.3392708771,0.751202542,1.2140253925,1.76154123
1,2.88451107,5.29396822,1.145841033,0.3415845213,0.4590988645,0.8079405165,1.76154123
1,2.48549447,3.288263425,1.082612006,0.52843721615,0.954577294,0.4881106135,1.76154123
1,2.6143037,3.286473765,0.9195261245,0.30630212945,0.6365657825,0.641937138,1.76154123
