"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw"
"1",-284.889,-2.29221,1.88992,0.925766,0.491857,3.54385,0.661237,1.53368,1,0,0,1,1,1
"2",-286.717,-3.04234,1.95474,0.953995,0.569913,3.39053,0.656721,1.48386,1,0,0,1,2,2
"3",-287.123,-3.97198,1.869,0.926838,0.539474,3.51159,0.692352,1.55684,1,0,0,1,3,3
"4",-283.623,-3.09819,1.85995,0.908518,0.560293,3.74763,0.680641,1.47886,1,0,0,1,4,4
"5",-286.122,-1.36493,1.92576,0.93886,0.603162,3.43968,0.710976,1.4765,1,0,0,1,5,5
"6",-291.723,-3.83326,1.89736,0.860793,0.646299,3.40822,0.669304,1.48382,1,0,0,1,6,6
"7",-284.406,-3.47547,1.92736,0.942488,0.355463,3.46958,0.679867,1.49877,1,0,0,1,7,7
"8",-282.837,-0.557524,1.89948,0.925582,0.507778,3.58039,0.687471,1.46576,1,0,0,1,8,8
"9",-285.072,-2.56813,1.92439,0.957715,0.404254,3.37902,0.725339,1.47857,1,0,0,1,9,9
"10",-283.07,-0.692423,1.88434,0.930464,0.488043,3.56232,0.724736,1.50188,1,0,0,1,10,10
"11",-284.388,-0.701587,1.90476,0.914528,0.49862,3.43796,0.672458,1.48343,1,0,0,1,11,11
"12",-296.537,-9.601,1.80556,0.82485,0.560227,3.35592,0.728136,1.51105,1,0,0,1,12,12
"13",-284.496,-1.14794,1.90682,0.928862,0.452792,3.46222,0.740973,1.48825,1,0,0,1,13,13
"14",-285.59,-3.94243,1.88223,0.893805,0.696432,3.67515,0.704581,1.46672,1,0,0,1,14,14
"15",-285.624,-4.13476,1.8474,0.874526,0.488267,3.57571,0.635997,1.45955,1,0,0,1,15,15
"16",-299.289,-7.61601,1.8999,1.07916,0.538191,3.78324,0.677924,1.49934,1,0,0,1,16,16
"17",-284.607,-2.16209,1.87436,0.966624,0.390129,3.50534,0.731135,1.47437,1,0,0,1,17,17
"18",-286.731,-1.28322,1.90405,0.924944,0.575114,3.40365,0.715065,1.46398,1,0,0,1,18,18
"19",-286.52,-3.95358,1.91225,0.972168,0.587478,3.29452,0.638111,1.47907,1,0,0,1,19,19
"20",-284.879,-4.04885,1.84625,0.989806,0.446389,3.33976,0.727202,1.45136,1,0,0,1,20,20
"21",-283.485,-0.650917,1.90028,0.934765,0.599759,3.55021,0.695393,1.48248,1,0,0,1,21,21
"22",-284.282,-2.42324,1.88733,0.971964,0.657294,3.60229,0.673937,1.50691,1,0,0,1,22,22
"23",-288.971,-4.78205,1.95644,0.962368,0.479734,3.48547,0.754297,1.43368,1,0,0,1,23,23
"24",-285.538,-2.14259,1.9193,0.87397,0.476633,3.57202,0.713664,1.47337,1,0,0,1,24,24
"25",-289.684,-8.8946,1.88945,1.02,0.849909,3.5746,0.684145,1.53568,1,0,0,1,25,25
"26",-287.241,-4.68154,1.86083,0.861978,0.452247,3.51825,0.63873,1.51864,1,0,0,1,26,26
"27",-288.867,-4.80907,1.83124,0.990957,0.436591,3.58271,0.777422,1.48072,1,0,0,1,27,27
"28",-287.034,-2.97676,1.9312,0.933353,0.527928,3.29671,0.667559,1.49695,1,0,0,1,28,28
"29",-285.772,-3.71908,1.89459,0.871346,0.524224,3.63543,0.630196,1.48011,1,0,0,1,29,29
"30",-289.576,-3.50619,1.91121,0.894351,0.448159,3.35361,0.734057,1.4483,1,0,0,1,30,30
"31",-285.13,-3.40947,1.86682,1.00589,0.661708,3.42157,0.662077,1.48918,1,0,0,1,31,31
"32",-289.067,-5.91229,1.95644,0.98505,0.446403,3.31784,0.775594,1.48466,1,0,0,1,32,32
"33",-285.706,-3.07261,1.95082,0.918881,0.498733,3.61406,0.693115,1.44594,1,0,0,1,33,33
"34",-285.107,-3.28691,1.91105,0.884085,0.423948,3.50365,0.636646,1.46871,1,0,0,1,34,34
"35",-290.604,-8.25989,1.95686,1.02544,0.415598,3.64197,0.610129,1.50985,1,0,0,1,35,35
"36",-284.015,-2.36796,1.91449,0.93407,0.417713,3.63726,0.736015,1.46603,1,0,0,1,36,36
"37",-303.411,-8.80936,1.80727,0.954938,0.402492,3.71381,0.626086,1.52531,1,0,0,1,37,37
"38",-283.779,-2.29654,1.90815,0.936564,0.423172,3.67992,0.668036,1.47088,1,0,0,1,38,38
"39",-283.785,-1.46395,1.84487,0.96384,0.501679,3.47066,0.727524,1.49123,1,0,0,1,39,39
"40",-283.048,-1.53562,1.91924,0.97265,0.479528,3.54041,0.647133,1.48487,1,0,0,1,40,40
"41",-283.05,-2.15883,1.8884,1.01133,0.556933,3.48268,0.723078,1.45696,1,0,0,1,41,41
"42",-283.537,-1.33428,1.86448,0.97538,0.501349,3.42992,0.70964,1.50828,1,0,0,1,42,42
"43",-289.666,-5.60338,1.84765,0.886336,0.577167,3.55037,0.604275,1.50421,1,0,0,1,43,43
"44",-285.4,-2.94659,1.87579,0.923851,0.472215,3.51522,0.723646,1.42667,1,0,0,1,44,44
"45",-288.078,-3.16628,1.89368,0.924373,0.636456,3.44043,0.633567,1.4579,1,0,0,1,45,45
"46",-284.209,-1.72199,1.88637,0.955454,0.451613,3.64918,0.653547,1.48484,1,0,0,1,46,46
"47",-292.791,-4.92927,1.86408,0.844585,0.563478,3.36276,0.706903,1.45625,1,0,0,1,47,47
"48",-284.81,-0.72759,1.89332,0.920471,0.503978,3.38987,0.695129,1.48823,1,0,0,1,48,48
"49",-283.29,-1.50771,1.92409,0.951641,0.481194,3.60852,0.706648,1.45575,1,0,0,1,49,49
"50",-286.831,-4.40794,1.91621,0.898073,0.493829,3.62767,0.711051,1.42045,1,0,0,1,50,50
"51",-287.467,-2.58312,1.92957,0.927533,0.633785,3.50677,0.672329,1.45127,1,0,0,1,51,51
"52",-285.213,-3.17344,1.8957,0.945662,0.527912,3.40102,0.611508,1.48225,1,0,0,1,52,52
"53",-283.703,-0.588111,1.9104,0.946295,0.56742,3.48393,0.714564,1.49348,1,0,0,1,53,53
"54",-287.485,-3.06683,1.96965,0.941999,0.537361,3.42052,0.678459,1.47182,1,0,0,1,54,54
"55",-295.67,-13.2485,1.9243,1.0489,0.890171,3.42474,0.790939,1.44963,1,0,0,1,55,55
"56",-285.203,-5.90688,1.95747,1.06305,0.522481,3.4163,0.718206,1.47737,1,0,0,1,56,56
