"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"1",-1024.56,-4.01716,1.74756,0.99621,0.368345,2.62721,0.6081,0.926458,1.46276,1,0,1,1,1
"2",-1028.43,-2.69542,1.86494,0.967112,0.383604,2.71447,0.625433,0.97473,1.4532,1,0,1,2,2
"3",-1024.72,-2.92919,1.79923,0.95986,0.377462,2.80976,0.619035,0.910947,1.50444,1,0,1,3,3
"4",-1024.98,-4.84083,1.77881,0.943135,0.291857,2.68357,0.587596,0.954215,1.45561,1,0,1,4,4
"5",-1023.82,-1.60303,1.7813,0.982553,0.356454,2.80548,0.596478,0.944876,1.453,1,0,1,5,5
"6",-1027.24,-3.45383,1.86283,1.00275,0.424133,2.67252,0.604572,0.911103,1.48442,1,0,1,6,6
"7",-1027.88,-9.09522,1.86771,1.04224,0.533336,2.77402,0.633088,0.917135,1.48284,1,0,1,7,7
"8",-1025.95,-3.19632,1.83009,1.01704,0.314252,2.77313,0.668106,0.97088,1.50317,1,0,1,8,8
"9",-1025.48,-3.97452,1.77623,0.999825,0.422016,2.73754,0.600607,1.04032,1.461,1,0,1,9,9
"10",-1024.08,-1.27464,1.82525,0.985519,0.356899,2.64766,0.594328,0.984071,1.48027,1,0,1,10,10
"11",-1028.68,-4.93952,1.81423,0.963706,0.441834,2.73352,0.617858,0.945654,1.531,1,0,1,11,11
"12",-1033.76,-12.4029,1.85399,1.02486,0.386329,2.5318,0.627222,0.906604,1.56126,1,0,1,12,12
"13",-1026.53,-3.04454,1.83665,0.982785,0.300123,2.64042,0.616507,0.914493,1.46271,1,0,1,13,13
"14",-1025.53,-4.03385,1.83584,1.00397,0.446114,2.76023,0.620501,0.877438,1.47977,1,0,1,14,14
"15",-1027.87,-5.58266,1.85683,0.957268,0.340943,2.82746,0.666654,0.93008,1.4298,1,0,1,15,15
"16",-1027.12,-2.52666,1.81534,0.968151,0.39905,2.69676,0.61166,0.923699,1.43357,1,0,1,16,16
"17",-1023.45,-1.23655,1.81022,1.0075,0.341108,2.63703,0.623898,0.945633,1.45827,1,0,1,17,17
"18",-1025.15,-3.49565,1.77711,0.940938,0.331538,2.74456,0.590299,0.948281,1.49121,1,0,1,18,18
"19",-1058.6,-5.06979,1.76698,1.03032,0.295496,2.81226,0.605896,0.953052,1.43601,1,0,1,19,19
"20",-1026.92,-2.97506,1.82502,0.991924,0.334217,2.6432,0.676259,0.978606,1.49337,1,0,1,20,20
