# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_revision_v9_Frechet_generalized_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/standata-25d4468bfd6.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/init-1-25d4ab0237b.json
# random
#   seed = 760181741
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/rev_fit_gen_barre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_revision_v9_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_revision_v9_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
100,3.982,-2634.97
200,7.606,-1977.65
300,11.221,-1756.85
400,14.945,-1595.14
500,18.37,-1389.22
600,21.932,-1278.41
700,25.365,-1210.45
800,28.72,-1225.39
900,32.444,-1178
1000,36.356,-1149.3
1100,39.849,-1141.21
1200,43.443,-1104.09
1300,47.036,-1081.39
1400,50.644,-1086.34
1500,54.297,-1075.69
1600,59.88,-1073.92
1700,64.71,-1066.54
1800,68.306,-1073.17
1900,71.908,-1058.68
2000,75.41,-1057.19
2100,78.988,-1055.31
2200,82.583,-1053.92
2300,86.099,-1050.68
2400,89.618,-1053.9
2500,93.219,-1053.08
2600,96.766,-1047.6
2700,100.227,-1047.7
2800,103.813,-1046.82
2900,107.365,-1047.53
3000,110.895,-1046.14
3100,114.428,-1046.77
3200,117.914,-1044.98
3300,121.399,-1047.8
3400,124.936,-1044.8
3500,128.426,-1045.86
3600,131.954,-1044.74
3700,135.421,-1046.83
3800,138.878,-1043.2
3900,142.383,-1042.34
4000,145.881,-1044.94
4100,149.34,-1042.15
4200,152.827,-1045.28
4300,156.352,-1041.63
4400,159.818,-1043.45
4500,163.318,-1043.59
4600,166.813,-1043.49
4700,170.294,-1042.52
4800,173.858,-1041.8
4900,177.381,-1043.22
5000,180.892,-1043.88
5100,184.47,-1043.76
