# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_revision_v9_Frechet_generalized_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpGIFT3Y/standata-52a07de313ab.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpGIFT3Y/init-1-52a03f472b7.json
# random
#   seed = 895688749
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/rev_fit_gen_exp2_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/mlba_revision_v9_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/mlba_revision_v9_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
100,31.806,-20007
200,60.004,-18706.4
300,85.178,-13948.9
400,111.879,-13241.6
500,134.771,-13106.2
600,166.711,-12390
700,204.457,-12035.5
800,248.896,-11158.4
900,595.863,-11043
1000,1021.07,-10811.8
1100,1183.21,-11010.5
1200,1261.78,-10603.2
1300,1333.71,-10625.4
1400,1369.39,-10517.3
1500,1413.72,-10389.8
1600,1450.63,-10963.9
1700,1482.91,-10803.8
1800,1522.78,-10455
1900,1556.35,-10202.1
2000,1587.61,-10163.4
2100,1618.17,-10227.9
2200,1644.27,-10245.8
2300,1693.17,-10254.7
2400,1720.79,-10003.7
2500,1748.88,-10011.7
2600,1776.52,-10012.2
2700,1805.83,-9959.23
2800,1833.74,-9862.01
2900,1863.92,-9949.06
3000,1901.82,-9995.69
3100,1936.24,-9854.94
3200,1959.25,-9761.66
3300,1981.34,-9756.08
3400,2005.11,-9715.5
3500,2038.92,-9679.32
3600,2065.32,-9671.41
3700,2088.32,-9670.28
3800,2112.05,-9639.16
3900,2135.57,-9634.2
4000,2164.26,-9619.26
4100,2193.07,-9610.07
4200,2219.59,-9587.79
4300,2245.14,-9576.48
4400,2268.92,-9575.24
4500,2293.87,-9563.89
4600,2322.36,-9554.96
4700,2345.88,-9549.03
4800,2372.94,-9545.56
