# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_revision_v9_Frechet_generalized_mixed_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.0050000000000000001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpGIFT3Y/standata-52a0769038b3.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpGIFT3Y/init-1-52a06d69de0.json
# random
#   seed = 438106989
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/rev_mix_fit_gen_exp2_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/mlba_revision_v9_Frechet_generalized_mixed-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/mlba_revision_v9_Frechet_generalized_mixed-profile-1.csv
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
100,24.585,-15084.2
200,48.01,-11706
300,71.127,-10016.8
400,94.086,-9035.12
500,117.252,-8564.87
600,140.122,-8262.52
700,162.72,-8024.92
800,187.32,-7882.44
900,210.995,-7743.89
1000,236.923,-7658.47
1100,259.415,-7588.17
1200,282.546,-7507.34
1300,308.481,-7474.36
1400,335.313,-7416.6
1500,363.878,-7380.34
1600,393.105,-7335.94
1700,420.986,-7303.29
1800,445.224,-7258.95
1900,469.199,-7233.72
2000,494.281,-7207.62
2100,520.29,-7177.59
