"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-285.800953,-284.9975,5.51511412871188,1.96518629999997,-290.62385,-282.9179,0.999513340997647,1893.62505474809,1882.10674720651
"2","lp_approx__",-3.0178038755,-2.66341,1.75876087616278,1.542333954,-6.3567005,-0.8420804,1.00105886588544,1989.7013682245,1318.1725818004
"3","I",1.89120068,1.89061,0.0346394505109918,0.0350264249999998,1.834762,1.9492215,0.999986121357249,1585.17232619095,1366.78979144403
"4","m",0.944055677,0.942369,0.043054453922387,0.0437715411000001,0.87452185,1.016308,0.99977143102231,2024.09056578707,1782.50248770003
"5","lam",0.5163079895,0.5084035,0.0822803690772601,0.0793746975,0.396324,0.6591217,0.999686209696893,1918.96865983927,1777.13078568883
"6","gamma",3.51059501,3.507565,0.114944618697369,0.116317383,3.324405,3.7046905,0.99957139346574,1919.11845347738,2047.06098959464
"7","beta",0.6979332145,0.695983,0.0393621158073585,0.0384015639,0.63625255,0.7665354,1.00074430384789,1888.60557784092,1921.17599996482
"8","alpha",1.484181245,1.483645,0.0262976260956975,0.0263458019999999,1.44292,1.526808,1.00113006295385,1773.08414638981,1498.78405902087
"9","k",1,1,0,0,1,1,NA,NA,NA
"10","tau",0,0,0,0,0,0,NA,NA,NA
"11","delta",0,0,0,0,0,0,NA,NA,NA
"12","Chain",1,1,0,0,1,1,NA,NA,NA
