"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-460.268909,-459.552,3.13967521249236,2.38995120000003,-465.7952,-457.0158,0.999540145814517,2010.57719136154,1998.34912475085
"2","lp_approx__",-3.046581291,-2.69062,1.76638373185173,1.53189645,-6.472139,-0.8617578,0.999681084448008,1946.62473828364,1635.55273886949
"3","I",1.463876565,1.46296,0.0321977964074799,0.032053812,1.4116375,1.5183655,1.00004869005883,1995.73830157737,1721.3345471347
"4","m",1.0015474915,0.999075,0.0493584432938593,0.0481845,0.92259675,1.0864755,1.0002346674468,1825.02911367861,1848.3933395089
"5","lam",0.2630026335,0.2602095,0.0359339250503468,0.0349723101,0.2081113,0.32529085,1.00003179924625,2086.25973898276,1969.38045256499
"6","gamma",2.67070295,2.67218,0.0867494357797303,0.0871249889999999,2.530462,2.8172765,1.00052173255456,1914.35783608395,1923.00432897657
"7","beta",1.50460783,1.502915,0.0944981877113602,0.093737385,1.3491205,1.6606635,1.00065723249041,1971.3433207536,1839.74972726807
"8","alpha",1.36325766,1.363425,0.0303692199551576,0.030756537,1.314118,1.4145705,1.00087786013786,1733.92674183739,1848.25244668759
"9","k",1,1,0,0,1,1,NA,NA,NA
"10","tau",0,0,0,0,0,0,NA,NA,NA
"11","delta",0,0,0,0,0,0,NA,NA,NA
"12","Chain",1,1,0,0,1,1,NA,NA,NA
