"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-5420.774585,-5419.53,5.98802447776796,5.64870599999924,-5432.131,-5413.539,1.00042593155971,1931.47102192387,2092.13861832483
"2","lp_approx__",-3.0462762805,-2.654835,1.79852919123209,1.555010184,-6.477394,-0.83028265,1.00060772068845,1983.16791462645,1921.0212050764
"3","I",1.323181685,1.32326,0.010094198077519,0.00995565900000004,1.3066355,1.340001,0.999647436676605,1901.37640454803,1919.4301783588
"4","m",2.795499265,2.793185,0.179843989754273,0.182938014,2.5071785,3.101729,0.999824441040356,2093.28908586086,2137.16027265867
"5","lam",3.752393815,3.748235,0.102973019346586,0.103181547,3.5849895,3.9241025,1.00036421946165,1947.47598409551,1731.78442012907
"6","gamma",3.070321875,3.068955,0.0965773520971839,0.0970065179999998,2.9125195,3.2352265,0.999941158571179,1853.07132034325,1697.10015364988
"7","beta",0.7046331365,0.704729,0.00871485458226715,0.00868284689999998,0.69045945,0.71894985,1.00039255357264,2017.77999159598,1887.46256180225
"8","alpha",1.432513435,1.432345,0.0120231034662126,0.0118756259999999,1.41322,1.45255,0.999606259591781,1705.73188536209,1949.6376922449
"9","k",1,1,0,0,1,1,NA,NA,NA
"10","tau",0,0,0,0,0,0,NA,NA,NA
"11","delta",0,0,0,0,0,0,NA,NA,NA
"12","Chain",1,1,0,0,1,1,NA,NA,NA
