"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-9527.130215,-9519.14,40.5677312184436,23.0766690000008,-9585.3995,-9491.599,1.00058567091197,2104.2751189105,1899.91421451262
"2","lp_approx__",-3.502206175,-3.19836,1.82734838544091,1.680260232,-6.9213635,-1.1387405,1.00119520815261,2146.00930165512,1848.3373086427
"3","I",1.28488352,1.284875,0.0129572106822391,0.012957924,1.2639295,1.306981,0.999698749594664,1981.51876055476,2052.67690040917
"4","m",0.9310599265,0.9305675,0.0431952048926609,0.0441199520999999,0.8623419,1.003093,0.999591383006688,1976.57735572863,1922.24727450933
"5","lam",0.46847332,0.4664125,0.0402953795992807,0.0411102741,0.4060146,0.5352259,1.0007355166664,1913.56425941991,1439.69575359977
"6","gamma",3.21798366,3.213085,0.273051807044322,0.278217303,2.780393,3.6664325,1.00081031539774,2019.15964169786,1959.92797555622
"7","beta",0.7465623405,0.7456955,0.0427067393290874,0.0420680337,0.6784974,0.82075685,0.999545183894045,1963.62037344226,1929.33859946704
"8","stay",1.0500223575,1.05001,0.0291669110359733,0.029970759,1.0021255,1.0978715,1.00003649318447,1975.89209864458,1962.09111755608
"9","alpha",1.47372211,1.473545,0.0132554932461414,0.0137214629999997,1.451888,1.4955755,0.999939296989182,2006.72014866305,1883.71651434279
"10","k",1,1,0,0,1,1,NA,NA,NA
"11","tau",0,0,0,0,0,0,NA,NA,NA
"12","Chain",1,1,0,0,1,1,NA,NA,NA
