"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-560.8688645,-558.812,23.5039415739338,21.4732371,-601.03295,-527.0939,1.00022214594056,1870.99150067614,1941.66156555555
"2","lp_approx__",-150.7573965,-150.385,12.2368409816379,12.3975012,-170.9453,-131.3534,0.999897590056763,1903.08738338286,1808.1892479061
"3","mu_I",2.03850744,2.02094,0.247527927382879,0.239024772,1.668534,2.4698195,1.00329613017944,1908.71304765173,1857.86068513582
"4","mu_m",1.026256964,1.025165,0.0410768938054846,0.0397536950999999,0.95970465,1.097613,0.999564907978654,1754.72836758566,1922.7754964608
"5","mu_lam",0.088428987415,0.0734413,0.0598931155826955,0.04246485159,0.026476875,0.1967504,0.999688055859484,1879.58457186222,1849.26191653964
"6","mu_gamma",3.628103785,3.62375,0.257635507010505,0.256764081,3.222081,4.063869,1.00175346335918,2089.56288792818,1842.61326501617
"7","mu_beta",1.123903294,1.12312,0.05997157328689,0.058392201,1.027125,1.2253145,0.999718215112204,2112.97271962802,1892.78274084301
"8","tau_I",1.321877866,1.309205,0.172419841104704,0.170921541,1.058743,1.618691,1.00110440255104,1879.92228565393,1919.35298469675
"9","tau_m",0.217707771,0.2162865,0.0240741562984313,0.0237460629,0.18035645,0.2596796,1.00084616988364,1975.93248708811,2055.39179136262
"10","tau_lam",0.2785414535,0.277011,0.035114612295128,0.0337988322,0.22369475,0.34003505,1.00073590914295,1977.75170288781,1533.26704993258
"11","tau_gamma",1.421048543,1.409815,0.176805074188714,0.168764358,1.1469095,1.735556,1.00088730127794,1957.44567599197,1917.19578780556
"12","tau_beta",0.330599354,0.328504,0.039636668884807,0.0386847405,0.27106535,0.4000814,0.99958933876253,1878.41407224419,1956.33874804135
"13","mu_stay",0.8678141385,0.8662555,0.0554146585023564,0.0553209951000001,0.78335775,0.96323365,0.999733192805932,2161.2637634859,2001.22557436138
"14","tau_stay",0.394457108,0.391229,0.0514242448586946,0.0503216679,0.31540505,0.48387425,1.00053965832523,2055.7028698936,1877.71554606744
"15","alpha",1.8006122,1.800385,0.0350138127144189,0.035056077,1.7419765,1.8571755,1.00268954443168,1933.54518560128,1571.95793491814
"16","I[1]",1.699433335,1.680225,0.210436470481193,0.204724821,1.3756285,2.063828,0.999978768420386,1948.87338075792,2056.68944992684
"17","I[2]",2.84173158,2.827885,0.302644207563914,0.297016671,2.380101,3.354964,0.999903031446955,1879.26241372934,1918.21628825582
