"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-7361.477285,-7353.83,81.275215266938,79.7712930000004,-7507.515,-7239.9075,1.00023691334874,1763.62227180796,1981.10329296611
"2","lp_approx__",-600.4988395,-600.304,23.9991304412203,24.4829151000001,-640.7634,-561.64625,1.00217197008446,1439.20325206039,1759.67834542991
"3","mu_I",1.83817268,1.831645,0.168894200036356,0.166562697,1.575584,2.133426,1.00263126554354,1928.89477323716,1882.2935610731
"4","mu_m",0.8110955545,0.801973,0.0981688819568725,0.0943756443,0.66197855,0.98715215,1.00031511978521,1940.08573597244,1923.08062501083
"5","mu_lam",0.06118466514,0.04938705,0.0462246151960927,0.03228480108,0.01601792,0.14200455,0.999817125368159,2099.33497045689,1854.76145828946
"6","mu_gamma",1.840929225,1.816255,0.290693321977769,0.286245582,1.4070135,2.358827,1.00031347890743,1896.29421751379,1818.72437715991
"7","mu_beta",0.6318337965,0.62875,0.0569174529839062,0.0558095118,0.54234205,0.72739095,0.999546979964086,2140.08375172263,1892.52057011049
"8","tau_I",1.090426967,1.089365,0.0835647710237516,0.0832924679999998,0.95903,1.2307005,0.999728337320873,1913.19564384281,1672.62210638381
"9","tau_m",0.417046574,0.416056,0.0322286467951207,0.0320597424,0.36728095,0.47283215,1.00077426556342,1804.77464539742,1970.60148571341
"10","tau_lam",0.6439212715,0.6430145,0.0410903761548621,0.0403067049,0.57893705,0.71102155,1.00071546755027,2029.02679173173,1623.28721835271
"11","tau_gamma",1.92608617,1.92067,0.126654051866722,0.12994989,1.726287,2.136241,1.00081829296474,1968.01906847071,1962.49249375557
"12","tau_beta",0.368559361,0.3675325,0.0308376302559808,0.0309781857000001,0.32080045,0.4216063,0.99974048855994,1825.98853503828,1961.2994557678
"13","mu_stay",0.890305066,0.889464,0.0772310570405679,0.0802056948,0.7688959,1.019926,0.999854181752856,1949.86737956928,1922.39429412326
"14","tau_stay",0.936156906,0.932017,0.066887434187987,0.0653782121999998,0.82190365,1.0502675,1.0010659690045,1423.70860073375,1960.80838298342
"15","alpha",1.9571533,1.95736,0.0219890612422895,0.022335369,1.921347,1.9930925,1.00202214630579,2005.50171152881,1961.52960842579
"16","I[1]",1.024534357,1.019625,0.104314749567466,0.1024869489,0.86160675,1.200775,1.00068892738961,2039.28154713601,1920.5680276912
"17","I[2]",0.8638286175,0.857309,0.0822198112180791,0.0834296085,0.73844255,1.008672,1.00002030515515,2020.25518965758,1959.94608799392
"18","I[3]",0.9496442595,0.946412,0.0901816889474846,0.0888344267999999,0.813949,1.108187,0.999999161028586,1980.53256421334,1681.96214268301
"19","I[4]",3.56637363,3.553615,0.259807593868692,0.247660917,3.1583685,4.013448,0.999748063394,1856.38790180788,1884.27190098687
"20","I[5]",2.03435757,2.02667,0.167926489300228,0.167726538,1.7796415,2.317672,0.999908367982447,1961.6480328765,1967.67397676973
"21","I[6]",2.818372365,2.80345,0.250740061106874,0.24322053,2.432458,3.2504535,1.00072997215125,1874.30872088064,1821.53530857968
"22","I[7]",2.6963194,2.689605,0.210989602510464,0.208505451,2.357209,3.052486,0.999515643272087,2066.67943128246,1965.09612972974
"23","I[8]",1.51656142,1.512805,0.129452542238187,0.129253068,1.3075375,1.7281355,1.0000353912201,2013.66715280358,1855.01853199555
"24","I[9]",2.29193256,2.275365,0.180608416392709,0.178067673,2.0109215,2.604488,1.00489855647911,1462.34113848603,1913.91559070703
"25","I[10]",0.973299046,0.971729,0.0821467151129844,0.0819277346999999,0.84518085,1.1141505,1.00313231921418,1793.50222720128,1659.38785504515
"26","I[11]",1.1944390845,1.18759,0.124542639333569,0.122811171,1.0000043,1.4076065,1.00160682347772,1882.62733586241,1922.7754964608
"27","I[12]",1.0972556245,1.09134,0.107151751452429,0.103908021,0.9319815,1.280053,1.00017658931588,1650.33923886184,1902.61995939491
"28","I[13]",1.888532355,1.881365,0.161552478317509,0.162352113,1.6436765,2.161341,0.999739889412258,1681.38533525021,1930.55893863597
"29","I[14]",2.39347507,2.38893,0.20382705642937,0.199758111,2.07493,2.7367515,1.00005448625303,2100.50221308795,1923.08062501083
"30","I[15]",1.353484102,1.34554,0.126641112958341,0.125465025,1.156171,1.567486,0.999575908024982,2180.05965123222,1884.27190098687
"31","I[16]",1.3404681505,1.33935,0.123477830655756,0.126124782,1.1451965,1.545787,1.00021624818389,1836.06469619543,1846.53084999724
"32","I[17]",2.092046625,2.08428,0.159729828773023,0.154316421,1.840583,2.3741795,0.999983208633308,1888.73817319694,1820.25080857878
"33","I[18]",2.420990515,2.41312,0.205330810139348,0.203390481,2.108088,2.7824385,1.00258400610872,1890.12523432854,1959.67554060508
"34","I[19]",0.965999643,0.9597115,0.0879805654820587,0.0870560481,0.8278979,1.1185975,0.999595322555711,1940.50983763137,1857.91099452829
"35","I[20]",2.219343615,2.2128,0.188311906151685,0.18547326,1.9296595,2.550574,0.999733588244166,1879.82296238795,1760.9052320158
"36","I[21]",1.065488814,1.059405,0.0967307211539896,0.0946491840000002,0.915761,1.238534,1.00005098884563,1879.72227379804,1953.05042884819
"37","I[22]",0.998395265,0.9924565,0.0915018052948404,0.0940976568000001,0.8582054,1.152299,0.999574692239806,2011.95411414959,1644.50621896127
"38","I[23]",4.442969255,4.43009,0.300222604296812,0.29666826,3.9823025,4.9873245,1.00060702054847,2085.80504759946,2002.87030852694
"39","I[24]",1.079565152,1.07703,0.105175139002746,0.104093346,0.91033915,1.2602935,1.00059558980698,2030.21681448603,1962.73343888589
"40","I[25]",0.8311938775,0.828523,0.0796381583731318,0.0799188116999999,0.7052162,0.9641858,0.999736041522195,2054.96697129042,1921.17599996482
"41","I[26]",0.961079172,0.954649,0.0921856575601396,0.093218475,0.8220112,1.1213715,1.00019930866681,2060.71593236197,1923.08062501083
"42","I[27]",2.3083376,2.302455,0.208971108000196,0.206926482,1.9735455,2.6516545,1.00005913242996,1919.60527218679,1929.26023909047
"43","I[28]",0.8775201705,0.871376,0.100489019645831,0.0940064769000001,0.71659515,1.049388,0.999694406241303,1885.46582804125,1869.4981067563
"44","I[29]",1.963978845,1.96111,0.149112801371923,0.147689199,1.7246325,2.2184355,0.999962131432117,2010.99375401984,1921.86099939317
"45","I[30]",1.316911026,1.31566,0.123466248317316,0.123092865,1.1236875,1.5229055,1.00044492918864,2075.6949986063,2002.87030852694
"46","I[31]",0.789388389,0.7863165,0.0728510144288419,0.0725451005999999,0.6785437,0.9146986,1.00004123712636,2109.91628811272,1824.86088539364
"47","I[32]",1.4797979235,1.465155,0.247491937604159,0.241708278,1.1009085,1.916159,1.00039292965698,2004.95997875975,1962.86054019627
"48","I[33]",1.9492282,1.93783,0.16094326695034,0.156829428,1.700908,2.239701,1.00011463317783,2064.78551959233,1884.14323249514
"49","I[34]",2.752140265,2.747655,0.204545105922773,0.199876719,2.4241,3.093148,1.00010143975539,1896.48841213134,1647.81316415287
"50","I[35]",3.13414528,3.119725,0.360342417973678,0.36538677,2.585607,3.759863,1.001126935559,2052.5990719727,1850.46507883346
"51","I[36]",2.923418005,2.90349,0.225762770960462,0.217897722,2.590846,3.3253455,0.999877098310327,2126.18159472127,1893.75407716882
"52","I[37]",2.79149362,2.78064,0.216030099663394,0.215251281,2.4530365,3.157757,1.00048641522309,1910.30439265009,1883.36506705252
"53","I[38]",0.73966017,0.7359965,0.0754766160568477,0.0775444277999999,0.62253525,0.86872145,1.00042095036467,2019.45643236565,1944.7157065446
"54","I[39]",1.404934595,1.400105,0.126736554389194,0.123293016,1.205195,1.6244205,1.00081190732944,1918.65763921462,1958.68680818892
"55","I[40]",1.948545435,1.94294,0.168690837444212,0.175547253,1.675779,2.228181,1.00076656482845,2139.28532545129,1732.83960210027
"56","I[41]",4.61193418,4.604265,0.392632642853144,0.394023189,3.9971065,5.2991065,0.999643906461686,1925.49670105633,1929.39113283239
"57","I[42]",2.49462378,2.48919,0.183162750201951,0.178986885,2.1995645,2.8135375,0.99998527628338,1980.17818199718,1711.56332330472
"58","I[43]",2.12194999,2.114335,0.179920318572744,0.182352387,1.841099,2.4370615,1.0014301876126,1961.38551530468,2002.87030852694
"59","I[44]",0.791410759,0.7888735,0.0792253593997082,0.0788468919,0.6672512,0.92502885,1.0002081047108,1865.60556337356,2044.28129010951
"60","I[45]",2.30552845,2.30161,0.192723071597202,0.185339826,2.0075035,2.6289695,1.00087312072831,2192.94335368797,1962.8137738422
"61","I[46]",0.9482007125,0.9428405,0.0869841099968311,0.0853050974999999,0.8116561,1.098285,1.00001162073984,1862.69180912131,1786.22749994212
"62","I[47]",2.423443825,2.41225,0.186132104132828,0.18228567,2.1422095,2.740188,0.999837269891893,1982.42735560629,2004.22343020712
"63","I[48]",0.839377504,0.835603,0.0814287501603845,0.0798691446,0.7150096,0.97388445,1.00024335200998,2005.95827793957,1712.88644641942
"64","I[49]",0.9127273235,0.9104365,0.0723229715157659,0.0754154142000002,0.7986319,1.032138,0.999847663713127,1893.16734996507,1863.4963690419
"65","I[50]",2.527211545,2.51841,0.197970634952042,0.195740264999999,2.2212135,2.8707645,1.00305368253767,2059.17763916287,1959.92797555622
"66","I[51]",2.90163728,2.89476,0.238625779214976,0.237267891,2.5156925,3.2995835,0.999589763335514,2048.70572539215,2004.13877981891
"67","I[52]",2.013148285,2.004795,0.167453183363644,0.168238035,1.7505735,2.293667,1.00071332069604,1655.29786029458,1840.34551687759
"68","I[53]",0.9611092855,0.9564235,0.085146438989351,0.0839870661000001,0.8292908,1.107666,1.00118093635879,1876.69889662519,1822.13784693449
"69","I[54]",2.61000088,2.60073,0.188422574871182,0.177133634999999,2.3024345,2.932134,1.00014512950929,2051.1310851644,1959.94608799392
"70","I[55]",3.93251706,3.92818,0.325659586108514,0.321546288,3.429051,4.478088,0.999777155861101,1602.74458248796,1812.39003408066
"71","I[56]",0.8015467955,0.7984735,0.0752243330092333,0.0718134375,0.681993,0.92878115,0.999527559032799,1922.04523673962,1759.62102003681
"72","I[57]",0.8019160465,0.798371,0.0714584674511115,0.0721329378,0.6885075,0.9260411,1.00038421011323,1986.00410368417,2091.00947847575
"73","I[58]",2.064243265,2.056985,0.164964001603387,0.16760793,1.797858,2.3450335,0.999932602375257,1904.49690450873,1815.23870948492
"74","I[59]",1.57159517,1.56802,0.140309141203357,0.136043376,1.3472045,1.8121375,1.00016724258351,2019.32214156169,1882.31921405841
"75","I[60]",0.935463758,0.931527,0.0837818448525866,0.085657215,0.807216,1.0803295,1.00093480427473,1849.50343661482,1820.25080857878
"76","I[61]",2.093381205,2.088195,0.170115461495179,0.168356643,1.823746,2.3709995,1.00040148754192,1895.4276452665,1797.22804735809
"77","I[62]",1.798149445,1.789875,0.164278764915137,0.162885849,1.537788,2.0834125,1.00075721780924,1927.40200249222,1959.92797555622
"78","I[63]",1.113803827,1.108855,0.0878096708315425,0.0869544900000001,0.97711395,1.2629225,1.00048224720758,1691.21297177407,1847.15004656627
"79","I[64]",2.023918585,2.013965,0.161698306874472,0.162189027,1.7798355,2.307301,0.999683844671117,1987.71701712292,1971.5795883085
"80","I[65]",1.0108701015,1.00709,0.0855942846964653,0.0865460337000001,0.8790351,1.1578385,0.999839906078766,2008.12869698997,1955.21882617034
"81","I[66]",1.62155475,1.619,0.149735723501721,0.151922022,1.383948,1.8769675,1.00028155708793,1975.67580659179,1780.22544324322
"82","I[67]",1.7982202,1.79306,0.147822410071409,0.146710683,1.570927,2.049665,1.00134478634217,1803.04854975023,1846.96887422988
"83","I[68]",1.55897365,1.549615,0.152058917344395,0.149142147,1.322655,1.821835,1.00010178971132,1897.10578144554,1916.98150957175
"84","I[69]",1.629515535,1.62328,0.15335697072076,0.152818995,1.3831405,1.8920605,0.999562739712771,1994.27613553333,1751.31565767663
"85","I[70]",3.260397175,3.24031,0.264470412733211,0.260856057,2.842616,3.706158,0.999805528050782,2150.72087677397,1895.2273808666
