# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_revision_v9_Frechet_generalized_model
# start_datetime = 2022-09-26 14:09:00 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/standata-25d47e126322.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/init-1-25d46e5662b.json
# random
#   seed = 1760951269
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/rev_fit_gen_chiffre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_revision_v9_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_revision_v9_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_revision_v9_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,stay,alpha,k,tau
# Stepsize adaptation complete.
# eta = 0.1
0,0,0,1.52055,0.993513,0.123534,2.68033,1.22989,0.928642,1.35169,1,0
0,-923.172,-4.65057,1.4477,0.997349,0.147552,2.58567,1.14551,0.900424,1.3704,1,0
0,-923.131,-0.546114,1.54392,0.993233,0.11979,2.6293,1.25524,0.943364,1.34578,1,0
0,-923.052,-3.35559,1.53897,1.05026,0.127387,2.77134,1.24436,0.90289,1.38224,1,0
0,-926.046,-4.88352,1.53597,0.930462,0.108697,2.74692,1.28864,0.860512,1.38497,1,0
0,-923.048,-2.23278,1.51966,1.0234,0.112581,2.52458,1.26225,0.93519,1.34742,1,0
0,-922.276,-2.78193,1.48011,1.01818,0.11669,2.70569,1.30343,1.02414,1.3517,1,0
0,-924.535,-2.30411,1.5123,0.974754,0.0875132,2.61699,1.15055,0.886387,1.3544,1,0
0,-921.408,-1.75809,1.51512,1.01755,0.116486,2.60629,1.3093,0.887032,1.37713,1,0
0,-927.223,-6.59193,1.54093,0.994246,0.142619,2.64457,1.13687,0.863654,1.43732,1,0
0,-922.368,-4.55693,1.55779,1.0367,0.157914,2.87378,1.24934,0.924944,1.34954,1,0
0,-921.894,-2.82921,1.50282,0.986026,0.143769,2.77321,1.15679,0.831715,1.36514,1,0
0,-922.47,-3.04908,1.50917,0.969258,0.160765,2.76122,1.22568,0.981353,1.31219,1,0
0,-922.595,-1.93862,1.53981,0.98852,0.138486,2.69309,1.08536,0.926349,1.37462,1,0
0,-921.272,-2.15263,1.48186,0.974351,0.13704,2.70711,1.22301,0.887444,1.32128,1,0
0,-923.156,-2.50871,1.5442,0.97789,0.0807131,2.65138,1.28021,0.930607,1.36189,1,0
0,-920.657,-2.43134,1.54747,0.996984,0.123841,2.84442,1.28778,0.973624,1.36338,1,0
0,-925.97,-3.26016,1.48324,0.974029,0.0919243,2.75729,1.1378,0.869669,1.35902,1,0
0,-932.332,-6.56635,1.53457,0.973687,0.106867,2.46907,1.3861,0.822474,1.36952,1,0
0,-921.184,-1.8518,1.5053,1.0028,0.145046,2.67512,1.0917,0.883362,1.34848,1,0
0,-930.414,-6.51476,1.57795,1.00534,0.0822865,2.62842,1.17785,0.99584,1.29801,1,0
0,-920.595,-1.92118,1.54584,0.989135,0.131971,2.82769,1.17207,0.958763,1.35062,1,0
0,-922.389,-1.61804,1.48428,0.966996,0.104654,2.70725,1.19079,0.920124,1.35741,1,0
0,-923.703,-5.96469,1.47432,1.02956,0.140313,2.68744,0.989382,0.959997,1.34805,1,0
0,-921.668,-0.813595,1.50788,0.974637,0.10451,2.68258,1.22769,0.921852,1.3347,1,0
0,-922.036,-1.32686,1.50499,0.980194,0.104833,2.61616,1.27046,0.928231,1.37776,1,0
0,-922.69,-2.51335,1.48986,1.00487,0.134251,2.62028,1.36274,0.910732,1.31955,1,0
0,-925.423,-2.82532,1.52398,0.941013,0.0938048,2.7215,1.20506,0.932247,1.34043,1,0
0,-922.18,-4.75109,1.49866,1.0285,0.0816419,2.52191,1.24298,0.878309,1.34222,1,0
0,-924.598,-3.92285,1.53422,1.01311,0.096025,2.62685,1.06382,0.886743,1.31701,1,0
0,-927.653,-4.06602,1.53097,1.03155,0.115173,2.87656,1.21286,0.851306,1.3565,1,0
0,-923.447,-5.11711,1.49921,0.986503,0.166266,2.71219,1.08455,1.07198,1.36698,1,0
0,-923.125,-2.43641,1.51932,0.953986,0.132053,2.71446,1.37538,0.967071,1.33854,1,0
0,-927.489,-5.4221,1.54088,1.0248,0.0731575,2.84519,1.29676,0.945365,1.34027,1,0
0,-924.674,-1.40148,1.5388,0.965052,0.115062,2.66227,1.14904,0.969475,1.35941,1,0
0,-935.539,-7.85673,1.53318,0.995013,0.191652,2.48085,1.18455,1.08178,1.37419,1,0
0,-925.404,-3.20745,1.51152,1.01792,0.138416,2.53001,1.17985,0.989121,1.32245,1,0
0,-922.869,-1.78822,1.54317,0.981727,0.118384,2.74806,1.20342,0.986042,1.32157,1,0
0,-919.792,-1.39622,1.50649,0.99783,0.140222,2.80599,1.25489,0.952614,1.33929,1,0
0,-924.133,-3.1771,1.53461,0.949521,0.118063,2.68338,1.37811,0.89372,1.38055,1,0
0,-922.812,-1.6157,1.52576,0.98566,0.119902,2.66007,1.38383,0.964397,1.33223,1,0
0,-922.431,-2.61765,1.54677,0.972916,0.0995978,2.80326,1.25853,0.950039,1.32422,1,0
0,-923.281,-2.11487,1.56381,1.00755,0.110444,2.67246,1.14491,0.988831,1.35236,1,0
0,-932.053,-3.64548,1.4945,1.00121,0.111983,2.89907,1.21837,0.871937,1.35778,1,0
0,-922.661,-1.47423,1.5623,1.01462,0.133587,2.65931,1.21486,0.962795,1.35713,1,0
0,-921.167,-1.77296,1.54319,1.03513,0.128367,2.67882,1.2147,0.984558,1.34877,1,0
0,-924.746,-5.21579,1.52165,1.00686,0.0849652,2.77115,1.22636,0.888638,1.28868,1,0
0,-924.274,-2.27618,1.55028,1.00647,0.171754,2.65309,1.2425,0.881852,1.37017,1,0
0,-924.286,-4.79801,1.57368,1.01969,0.0926775,2.68355,1.36361,1.02745,1.34875,1,0
0,-923.589,-1.77908,1.49303,0.980629,0.162351,2.60335,1.23328,0.901621,1.35945,1,0
0,-921.961,-3.31382,1.52113,0.977899,0.0851482,2.77976,1.34486,0.869804,1.36182,1,0
0,-926.879,-3.92925,1.52167,0.950379,0.134169,2.72286,1.17421,0.848215,1.30891,1,0
0,-921.587,-1.20845,1.50442,0.965272,0.13633,2.70192,1.19268,0.972424,1.36301,1,0
0,-923.217,-1.84272,1.52691,0.999059,0.134342,2.59352,1.21883,0.903482,1.39262,1,0
0,-925.848,-4.76923,1.52807,0.951635,0.137013,2.70233,1.28057,0.84386,1.40815,1,0
0,-922.177,-2.80383,1.53478,1.03479,0.103546,2.73518,1.16026,0.890798,1.32083,1,0
0,-924.597,-4.09434,1.52431,0.96177,0.0863945,2.87206,1.24297,0.941114,1.34044,1,0
0,-922.19,-0.946625,1.5114,0.996733,0.145428,2.62118,1.24562,0.877952,1.35718,1,0
0,-921.136,-2.96723,1.54211,0.980837,0.104296,2.84646,1.32693,0.884251,1.36015,1,0
0,-927.331,-4.3937,1.5287,1.00609,0.110486,2.57373,1.17732,0.825145,1.30555,1,0
0,-925.051,-6.61795,1.53463,0.986638,0.140708,2.87008,1.32643,1.10349,1.37076,1,0
0,-921.35,-1.69527,1.51682,1.0141,0.0971439,2.59783,1.26017,0.979659,1.34424,1,0
0,-921.152,-2.27276,1.52506,0.98294,0.100282,2.66396,1.39802,0.945476,1.37633,1,0
0,-923.673,-0.811745,1.54302,0.99389,0.123641,2.62673,1.2583,0.886557,1.34214,1,0
0,-923.03,-3.35368,1.57525,1.03347,0.101212,2.636,1.22059,0.903475,1.36879,1,0
0,-923.426,-1.95722,1.52901,0.983246,0.159823,2.69174,1.30093,1.00951,1.36298,1,0
0,-927.232,-1.68233,1.54194,0.976375,0.129777,2.6007,1.24441,0.863127,1.33617,1,0
0,-933.1,-7.49142,1.60023,0.985622,0.140981,2.64578,1.43627,1.02901,1.38524,1,0
0,-933.229,-4.42867,1.47563,1.02631,0.121787,2.83327,1.33279,0.940984,1.3856,1,0
0,-926.783,-2.81838,1.51826,0.960203,0.187834,2.63799,1.17142,0.910274,1.35308,1,0
0,-932.628,-5.541,1.58442,0.966531,0.155771,2.72436,1.16417,0.959712,1.30088,1,0
0,-925.157,-4.11271,1.46701,0.99503,0.107825,2.65639,1.09042,0.973274,1.38734,1,0
0,-924.156,-3.01262,1.51317,0.997747,0.176641,2.70665,1.34132,0.845864,1.35626,1,0
0,-924.85,-4.63689,1.50316,1.02227,0.109541,2.51637,1.37396,0.883991,1.31728,1,0
0,-922.506,-2.53589,1.51069,1.0241,0.129035,2.75638,1.29478,0.963132,1.39294,1,0
0,-922.897,-1.93666,1.50067,1.0086,0.11477,2.77552,1.20257,0.993517,1.3758,1,0
0,-921.157,-1.27668,1.49159,0.987444,0.156119,2.65886,1.23034,0.968385,1.34957,1,0
0,-923.496,-3.82482,1.54066,1.05824,0.130486,2.56274,1.21722,0.910243,1.33605,1,0
0,-924.301,-2.39424,1.51675,0.988014,0.130833,2.57085,1.21851,0.92295,1.39937,1,0
0,-923.99,-6.08699,1.50864,1.08631,0.121203,2.58651,1.29501,0.923791,1.33211,1,0
0,-929.302,-5.2458,1.54239,1.03852,0.155249,2.74792,1.49018,0.917294,1.36394,1,0
0,-923.359,-2.84727,1.47957,0.978626,0.0995136,2.75334,1.17399,0.902407,1.32025,1,0
0,-921.343,-1.67357,1.50911,1.00439,0.0944775,2.75266,1.30905,0.906725,1.36566,1,0
0,-922.959,-6.8529,1.51258,0.959441,0.170785,2.45778,1.33479,1.0292,1.35511,1,0
0,-923.413,-2.6178,1.57145,0.98488,0.115327,2.71859,1.34208,0.872865,1.35722,1,0
0,-922.655,-2.80829,1.57894,0.986482,0.116159,2.74988,1.25453,0.914364,1.38135,1,0
0,-924.802,-2.28097,1.52111,0.996365,0.115468,2.59097,1.26666,0.852356,1.31919,1,0
