"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-1029.52215,-1025.48,11.0832249961669,3.06898200000007,-1059.7605,-1022.42,1.00231543407776,2030.4995356054,1779.15847598633
"2","lp_approx__",-3.4743131025,-3.097675,1.96983671818422,1.764531216,-7.2694345,-1.0876745,1.00400861216539,1832.12509172941,1979.60369092049
"3","I",1.81444307,1.81435,0.0281832277913562,0.0280730309999997,1.768623,1.8617305,0.999890612484695,1880.17485706191,2000.00400401202
"4","m",0.996306875,0.996364,0.0300326187407557,0.0294266448,0.9478441,1.046492,1.00162375116939,2075.26783876144,1992.87016464083
"5","lam",0.3644485365,0.3612745,0.0423273374325474,0.0407648283,0.29867185,0.4379454,1.00000528394828,1670.11328875136,1784.4539765347
"6","gamma",2.73507184,2.733625,0.077621763355309,0.078740886,2.610969,2.863406,1.00007687068531,2039.97979497185,1788.83075489395
"7","beta",0.6145005835,0.6134105,0.035984716972707,0.0353348058,0.5549915,0.6739853,1.00073738288978,1663.24830959394,1599.77608547981
"8","stay",0.9553782625,0.954396,0.0395307504668433,0.0394838619,0.8929137,1.0228735,1.00061650682984,1793.6106795796,1960.80838298342
"9","alpha",1.4719222,1.47163,0.0246724400254293,0.0238772730000001,1.4302295,1.5111035,1.00112232227321,2018.14880786861,1923.08062501083
"10","k",1,1,0,0,1,1,NA,NA,NA
"11","tau",0,0,0,0,0,0,NA,NA,NA
"12","Chain",1,1,0,0,1,1,NA,NA,NA
