"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-769.707218,-767.1925,28.3619005208405,26.4799773,-818.5201,-729.76975,0.999839228316463,1855.67789964048,1915.49661510765
"2","lp_approx__",-195.5075405,-195.6215,13.8381030971743,13.7904039,-218.7443,-173.215,1.00084146684988,1828.83022660386,1818.6077348136
"3","mu_I",2.29021979,2.283265,0.131572123430033,0.132981807,2.075653,2.5117305,1.00143545286192,1851.82741248809,1809.77357266932
"4","mu_m",0.9769945665,0.9756275,0.0372540827272596,0.0363066500999999,0.91896325,1.040723,0.999573802272696,1978.05400461451,1667.27177019374
"5","mu_lam",0.1303465554,0.1043155,0.0968029710157054,0.06590134761,0.0344176,0.30903695,0.999817687090076,2019.74222817836,1847.63209340345
"6","mu_gamma",3.541826295,3.5335,0.294947144358452,0.297075975,3.0625735,4.0269055,0.999550066811811,1916.16364727979,1804.91525617973
"7","mu_beta",0.661449447,0.6600375,0.0682079493213548,0.0662611004999999,0.554497,0.7762864,1.00141557222838,1595.71105134668,1963.04217788847
"8","tau_I",0.8967142795,0.8906055,0.0949796643883892,0.0961147340999999,0.7518451,1.0590775,0.999861332368327,2097.27884735767,1846.87974149208
"9","tau_m",0.226913616,0.2259135,0.0231723436007997,0.0225718437,0.19083145,0.26809825,1.00053952813448,2064.37250483189,1960.80838298342
"10","tau_lam",0.5529863445,0.5505515,0.0568334855133452,0.0572528228999999,0.4654166,0.6506286,1.00066299636639,1931.80992733727,2047.32872199687
"11","tau_gamma",1.61082893,1.601705,0.182368403500038,0.183479163,1.3292645,1.9168205,1.00012450154519,1594.91555440891,2011.10086875934
"12","tau_beta",0.3684962075,0.3657435,0.0453486026124499,0.0444809652,0.2963619,0.4469863,1.00005273093538,1945.75047981629,1824.07604412887
"13","mu_stay",0.893702591,0.8890775,0.0714672659706763,0.0703538178,0.78438025,1.017593,1.000561650979,1988.44729922201,2090.16379680511
"14","tau_stay",0.6782836725,0.6745995,0.0786720491480667,0.0784191618,0.5541631,0.8168032,0.999592305685142,2148.90129430918,1883.05607669765
"15","alpha",1.76154123,1.760975,0.0285818179520797,0.0283028340000001,1.714303,1.8092725,0.999859294717719,1783.56872636493,2091.00947847575
"16","I[1]",1.979104765,1.96676,0.228881245755685,0.232871982,1.634625,2.372938,1.00023798272028,1978.73707201276,1967.4638663462
"17","I[2]",2.06242616,2.054335,0.240776559560251,0.238320537,1.6870875,2.4869245,0.999717688508301,1957.10969902199,1889.43118338551
"18","I[3]",3.536076855,3.517565,0.355708447374849,0.34885578,2.974852,4.1495865,0.999605678986183,1951.42746762875,1893.5798355745
"19","I[4]",2.312496325,2.28838,0.270904032818714,0.270537435,1.894905,2.7973355,0.999837122569968,1884.81530111173,1917.23482007404
"20","I[5]",0.6113130175,0.6048335,0.0961413120064021,0.0951814374,0.46989105,0.77950075,1.00102073890606,2007.58598734002,2043.61520520238
"21","I[6]",2.21731313,2.205945,0.248659906438972,0.245904036,1.8262985,2.6561975,0.999526372696148,1952.98363486608,2092.42118306725
"22","I[7]",3.172738685,3.16191,0.329114851745163,0.329515262999999,2.666591,3.7266205,1.00159833819202,1733.98559137744,1777.26959640183
"23","I[8]",1.3835062425,1.35894,0.271777502067124,0.263213391,0.9845428,1.8635095,1.00253102566966,1797.54173007676,2000.21443835167
"24","I[9]",3.17361647,3.15168,0.31585030406702,0.321902112,2.683019,3.7108265,1.00065036891081,1757.37454481508,1883.76504671098
"25","I[10]",2.767559305,2.746695,0.310478033881349,0.312495015,2.2920805,3.3047835,1.00013173975995,2044.50700404149,1881.22347989428
"26","I[11]",1.667799145,1.66225,0.18964174773731,0.189809865,1.3713455,1.97656,0.999562884297077,1955.05338732923,1552.06605696789
"27","I[12]",3.11465411,3.100095,0.375458415910666,0.382970406,2.5271725,3.775718,1.000050189174,2228.20243355182,1867.36924783747
"28","I[13]",3.917014055,3.890365,0.400676252400146,0.400835736,3.3045015,4.615356,0.999871513557142,2042.38636832216,1852.17887208669
"29","I[14]",2.43904924,2.426255,0.30369668218225,0.296482935,1.9606195,2.952026,0.999897409948271,1795.71932000382,1758.63603271176
"30","I[15]",3.33433007,3.304865,0.382297092457484,0.361732161,2.749974,3.9838405,1.00003793733251,1955.9274741496,2046.61499959446
"31","I[16]",1.2800149815,1.25252,0.22308183830698,0.224146881,0.9525633,1.6835355,0.999652548147337,1939.09563148777,2047.32872199687
"32","I[17]",2.58217827,2.57153,0.275877074514952,0.270063003,2.1568255,3.065999,0.999643348724493,1891.4546551126,1958.04781184624
